name,arc,profile,t_base,t_delta,delta_apex_um,delta_inf_um,delta_sup_um,asymm_um,tau_uNm,n_inf,n_sup,status
SYM_t100_arc90,90,symmetric,100,0,560.797,179.186,219.624,-40.4381,2.123,18,18,ok
SYM_t150_arc90,90,symmetric,150,0,560.797,179.186,219.624,-40.4381,2.123,18,18,ok
SYM_t200_arc90,90,symmetric,200,0,560.797,179.186,219.624,-40.4381,2.123,18,18,ok
SYM_t250_arc90,90,symmetric,250,0,560.797,179.186,219.624,-40.4381,2.123,18,18,ok
SYM_t300_arc90,90,symmetric,300,0,560.797,179.186,219.624,-40.4381,2.123,18,18,ok
SYM_t350_arc90,90,symmetric,350,0,560.797,179.186,219.624,-40.4381,2.123,18,18,ok
SYM_t100_arc120,120,symmetric,100,0,562.792,180.521,219.661,-39.1402,2.05486,18,18,ok
SYM_t150_arc120,120,symmetric,150,0,562.792,180.521,219.661,-39.1402,2.05486,18,18,ok
SYM_t200_arc120,120,symmetric,200,0,562.792,180.521,219.661,-39.1402,2.05486,18,18,ok
SYM_t250_arc120,120,symmetric,250,0,562.792,180.521,219.661,-39.1402,2.05486,18,18,ok
SYM_t300_arc120,120,symmetric,300,0,562.792,180.521,219.661,-39.1402,2.05486,18,18,ok
SYM_t350_arc120,120,symmetric,350,0,562.792,180.521,219.661,-39.1402,2.05486,18,18,ok
SYM_t100_arc160,160,symmetric,100,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
SYM_t150_arc160,160,symmetric,150,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
SYM_t200_arc160,160,symmetric,200,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
SYM_t250_arc160,160,symmetric,250,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
SYM_t300_arc160,160,symmetric,300,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
SYM_t350_arc160,160,symmetric,350,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
SYM_t100_arc210,210,symmetric,100,0,570.81,227.934,220.303,7.6306,0.40061,18,18,ok
SYM_t150_arc210,210,symmetric,150,0,570.81,227.934,220.303,7.6306,0.40061,18,18,ok
SYM_t200_arc210,210,symmetric,200,0,570.81,227.934,220.303,7.6306,0.40061,18,18,ok
SYM_t250_arc210,210,symmetric,250,0,570.81,227.934,220.303,7.6306,0.40061,18,18,ok
SYM_t300_arc210,210,symmetric,300,0,570.81,227.934,220.303,7.6306,0.40061,18,18,ok
SYM_t350_arc210,210,symmetric,350,0,570.81,227.934,220.303,7.6306,0.40061,18,18,ok
SYM_t100_arc270,270,symmetric,100,0,577.747,250.0,221.377,28.6226,1.50269,18,18,ok
SYM_t150_arc270,270,symmetric,150,0,577.747,250.0,221.377,28.6226,1.50269,18,18,ok
SYM_t200_arc270,270,symmetric,200,0,577.747,250.0,221.377,28.6226,1.50269,18,18,ok
SYM_t250_arc270,270,symmetric,250,0,577.747,250.0,221.377,28.6226,1.50269,18,18,ok
SYM_t300_arc270,270,symmetric,300,0,577.747,250.0,221.377,28.6226,1.50269,18,18,ok
SYM_t350_arc270,270,symmetric,350,0,577.747,250.0,221.377,28.6226,1.50269,18,18,ok
SYM_t100_arc320,320,symmetric,100,0,583.154,250.0,230.297,19.7026,1.03439,18,18,ok
SYM_t150_arc320,320,symmetric,150,0,583.154,250.0,230.297,19.7026,1.03439,18,18,ok
SYM_t200_arc320,320,symmetric,200,0,583.154,250.0,230.297,19.7026,1.03439,18,18,ok
SYM_t250_arc320,320,symmetric,250,0,583.154,250.0,230.297,19.7026,1.03439,18,18,ok
SYM_t300_arc320,320,symmetric,300,0,583.154,250.0,230.297,19.7026,1.03439,18,18,ok
SYM_t350_arc320,320,symmetric,350,0,583.154,250.0,230.297,19.7026,1.03439,18,18,ok
PROG_t150+100_arc160,160,linear,150,100,590.276,204.247,281.022,-76.7755,4.03072,18,18,ok
PROG_t200+100_arc160,160,linear,200,100,590.276,204.247,281.022,-76.7755,4.03072,18,18,ok
PROG_t200+150_arc160,160,linear,200,150,590.276,204.247,281.022,-76.7755,4.03072,18,18,ok
PROG_t250+100_arc160,160,linear,250,100,590.276,204.247,281.022,-76.7755,4.03072,18,18,ok
PROG_t150+100_arc210,210,linear,150,100,602.959,227.84,281.481,-53.6409,2.81615,18,18,ok
PROG_t200+100_arc210,210,linear,200,100,602.959,227.84,281.481,-53.6409,2.81615,18,18,ok
PROG_t200+150_arc210,210,linear,200,150,602.959,227.84,281.481,-53.6409,2.81615,18,18,ok
PROG_t250+100_arc210,210,linear,250,100,602.959,227.84,281.481,-53.6409,2.81615,18,18,ok
PROG_t150+100_arc270,270,linear,150,100,618.235,261.111,282.508,-21.3969,1.12334,18,18,ok
PROG_t200+100_arc270,270,linear,200,100,618.235,261.111,282.508,-21.3969,1.12334,18,18,ok
PROG_t200+150_arc270,270,linear,200,150,618.235,261.111,282.508,-21.3969,1.12334,18,18,ok
PROG_t250+100_arc270,270,linear,250,100,618.235,261.111,282.508,-21.3969,1.12334,18,18,ok
CTRL_no_ring,0,symmetric,0,0,549.046,177.05,177.05,0.0,0.0,18,18,ok
CTRL_sym200_arc160,160,symmetric,200,0,566.402,204.369,219.872,-15.5023,0.81387,18,18,ok
